Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
,,2019-10-15,,,,,2019-10-15,,,,,,http://opendatacommunities.org/id/district-council/stratford,,,,,,Stafford Police Station,,https://www.staffordbc.gov.uk/brownfield-land-register,,,
,,2019-10-15,,,,,2019-10-15,,,,,,http://opendatacommunities.org/id/district-council/warwick,,,,,,"Stone Highways Depot, Stone",,https://www.staffordbc.gov.uk/brownfield-land-register,,,
,,2019-10-15,,,,,2019-10-15,,,,,,http://opendatacommunities.org/id/district-council/adur,,,,,,Stone Police Station,,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2019-10-15,,,,0.51,2019-10-15,,16,16,Construction of 16 dwellings,,http://opendatacommunities.org/id/district-council/arun,not owned by a public authority,2018-08-09,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,Land at Portal Road,17/25983/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2019-10-15,,,,0.306572,2019-10-15,,23,23,"Demolish buildings; erect 23 dwellings comprising 8 no 3 bedroom houses, 9 no 1 bedroom flats, 6 no 2 bedroom flats with associated car parking, landscaping and access roads",,http://opendatacommunities.org/id/district-council/chichester,not owned by a public authority,2018-09-10,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,Land at Rear of Former Browse Antiques,18/27978/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2019-10-15,,,,0.9687,2019-10-15,,32,32,Proposed change of use of former school to residential use and to a performing arts centre with associated uses along with then new build houses in a terrace,,http://opendatacommunities.org/id/district-council/crawley,not owned by a public authority,2018-10-18,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,Chetwynd Centre,18/28342/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2019-10-15,,,,0.67,2019-10-15,,80,80,Erection of a 4 storey building comprising 80 residential apartments for occupants aged over 55 years old,,http://opendatacommunities.org/id/district-council/horsham,not owned by a public authority,2018-11-01,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,Land at Riverway,18/28138/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2019-10-15,,,,0.3568,2019-10-15,,1,1,Public house and studio theatre including use of wharfingers cottage; outbuildings; parking; alterations,,http://opendatacommunities.org/id/district-council/mid-sussex,owned by a public authority,2019-01-21,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,Stone Town Council Car Park,18/28965/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2019-10-15,,,,0.1632,2019-10-15,,6,6,Change of use from a2 (bank) and school (d1) to mixed uses retail (a1) and residential (c3),,http://opendatacommunities.org/id/district-council/worthing,not owned by a public authority,2018-07-30,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,National Westminster Bank,18/28418/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2017-11-15,,,,0.04,2017-11-15,,9,9,Prior approval - change of use from office to 9 flats (class c3),,http://opendatacommunities.org/id/district-council/east-staffordshire,not owned by a public authority,2018-08-14,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,"The Whitehouse, Chapel Street, Stafford",18/28695/POR,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2019-10-15,,,,0.2,2019-10-15,,7,7,Demolition of garages and construction of 7 houses,,http://opendatacommunities.org/id/district-council/east-staffordshire,not owned by a public authority,2018-08-17,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,"Garages, Highfields",18/28296/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2019-10-15,,,,0.03,2019-10-15,,8,8,"Conversion of 1st, 2nd, 3rd floors above retail unit to provide eight residential apartments",,http://opendatacommunities.org/id/district-council/east-staffordshire,owned by a public authority,2019-02-13,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,CC4 Greengate Street,18/29731/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2019-10-15,,,,0.1191,2019-10-15,,15,15,Outline application to demolish existing building and build 15 apartments. officer/committee resolution to permit subject to S106 agreement being signed.,,http://opendatacommunities.org/id/district-council/stafford,not owned by a public authority,,other,http://www.staffordbc.gov.uk/planning-public-access,pending decision,Former Stafford College Annex,18/28772/OUT,https://www.staffordbc.gov.uk/brownfield-land-register,,,
,,2019-10-15,,,,,2019-10-15,,,,,,http://opendatacommunities.org/id/district-council/bromsgrove,,,,,,MoD 4 Site,,https://www.staffordbc.gov.uk/brownfield-land-register,,,
,,2019-10-15,,,,,2019-10-15,,,,,,http://opendatacommunities.org/id/district-council/malvern-hills,,,,,,St. Mary’s Abbey,,https://www.staffordbc.gov.uk/brownfield-land-register,,,
,,2018-11-01,,,,,2019-10-15,,,,,,http://opendatacommunities.org/id/district-council/redditch,,,,,,Midfield Nurseries Garden Centre,,https://www.staffordbc.gov.uk/brownfield-land-register,,,
,,2018-11-01,,,,,2019-10-15,,,,,,http://opendatacommunities.org/id/district-council/worcester,,,,,,"Leisure Complex, Yarnfield Park",,https://www.staffordbc.gov.uk/brownfield-land-register,,,
,,2018-11-01,,,,,2019-10-15,,,,,,http://opendatacommunities.org/id/district-council/wychavon,,,,,,"Silver Birches, Stone Road",,https://www.staffordbc.gov.uk/brownfield-land-register,,,
,,2018-11-01,,,,,2019-10-15,,,,,,http://opendatacommunities.org/id/district-council/wyre-forest,,,,,,"Wellbeing Park, Yarnfield Lane",,https://www.staffordbc.gov.uk/brownfield-land-register,,,
