Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2019-12-12,-2.273372,53.000961,,5.25,2019-12-12,,,,18/00698/FUL - Demolition of 732 student bed-spaces and the erection of 20 new buildings to provide 1685 student bedrooms (1706 student bed-spaces),,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2019-07-22,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001DFZBMLI000,permissioned,"Barnes Hall, Keele University",KL30,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PEU67UBM03400,,,
yes,,2019-12-12,-2.245237,53.016196,,0.68,2019-12-12,,,,18/00932/FUL - Demolition of existing bungalows and construction of 30 affordable dwellings,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2019-04-26,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PTLN01BM03Y02,permissioned,"The Forge, Knutton Lane, Knutton",KS16,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PIJR7HBMFHN00,,,
,,2019-12-12,-2.248076,53.020056,,0.3,2019-12-12,,,,09/00092/OUT - Erection of 24 dwelling houses. Now lapsed,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2019-07-03,,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0014JLBMLI000,not permissioned,Land at Nash Street Knutton,KS18,,,,
yes,2019-05-22,2017-12-18,-2.269375,53.016712,,0.12,2019-12-12,,,,16/00088/FUL - 6 dwellings. Now completed,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2016-03-30,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001LWOBMLI000,permissioned,"Land at junction of Church Street and Chapel Street, Silverdale",KS19,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O1WRHBBMJ3D00,,,
yes,,2017-12-18,-2.398772,52.925334,,5.84,2019-12-12,,,,15/00015/OUT - Erection of up to 128 dwellings,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2017-03-22,outline planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001P5VBMLI000,permissioned,"Tadgedale Quarry, Mucklestone Road, Loggerheads",LW12,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NHY8TYBMKD200,,,
yes,,2017-12-18,-2.304841,52.960975,,0.48,2019-12-12,,,,16/00609/FUL - Construction of 7 new houses,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2016-12-16,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001PDABMLI000,permissioned,Land Adjacent The Sheet Anchor Newcastle Road Whitmore ST5 5BU,LW36,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OANVPWBMITT00,,,
,,2019-12-12,-2.215873,53.016442,,0.12,2019-12-12,,,,Site promoted by registered provider,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,,,,not permissioned,"Stoneyfields Court, May Bank",MB12,,,,
,,2019-12-12,-2.221597,53.019326,,0.23,2019-12-12,,,,Site promoted by registered provider,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,,,,not permissioned,"Hyacinth Court, May Bank",MB13,,,,
,,2019-12-12,-2.22262,53.018218,,0.11,2019-12-12,,,,Site promoted by registered provider,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,,,,not permissioned,"The Hollies, May Bank",MB15,,,,
,,2019-12-12,-2.320532,53.008763,,0.85,2019-12-12,,,,Site promoted by registered provider,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,,,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001OZ7BMLI000,not permissioned,"The Old Wharf, Madeley Heath",MD5,,,,
,2019-05-22,2019-12-12,-2.350651,52.999536,,0.19,2019-12-12,,,,14/00132/FUL - Conversion of 2 No. existing rural buildings to residential use (5 no. dwellings). Now comleted,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2014-09-15,,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001CERBMLI000,not permissioned,"Moss House Fram, Bower End Lane, Madeley",MD35,,,,
yes,,2017-12-18,-2.238063,53.087762,,0.32,2019-12-12,,,,17/00552/FUL - Demolition of existing building and erection of 14 dwellinghouses,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2017-11-10,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NZPFRLBM03Y00,permissioned,"Land at Heathcote Street, Kidsgrove",RC1,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OSCVPKBMLB800,,,
yes,2019-05-22,2017-12-18,-2.276091,53.016822,,0.62,2019-12-12,,,,11/00284/FUL - Erection of twenty three houses. Now completed,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2013-02-18,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IIDP8KBMY3000,permissioned,"Former Site Of Silverdale Station, Station Road, Silverdale",SP15,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LLNJ0UBM4V000,,,
,,2018-12-11,-2.243557,53.009562,,0.34,2019-12-12,,,,Site promoted by registered provider,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,,,,not permissioned,"Former Pool Dam Pub Site, Orme Road, Poolfields, Newcastle",TB6,,,,
yes,,2018-12-11,-2.231677,53.008823,,0.36,2019-12-12,,,,16/00796/OUT - Conversion of former Orme Centre into student accomodation,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2017-01-12,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PWKW2UBM03Y00,permissioned,"Orme Road, (Orme Centre)",TB7,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ODUO4UBMGWD00,,,
yes,,2017-12-18,-2.234791,53.007315,,0.2,2019-12-12,,,,16/00405/REM - Erection of up to 12 dwellings,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2016-09-15,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001MH7BMLI000,permissioned,"35 Higherland, Westlands",TB22,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O72N0PBMJZ900,,,
,,2018-12-11,-2.228141,53.013172,,1.91,2019-12-12,,,,17/00637/FUL - Demolition of existing buildings and construction of a mixed use development,,http://opendatacommunities.org/id/district-council/newcastle-staffs,owned by a public authority,,,,pending decision,"Land bound by Ryecroft, Ryebank , Merrial Street, Corporation Street & Liverpool Road, Newcastle",TC7,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OTPE9ZBMFYL00,,,
yes,,2018-12-11,-2.223279,53.012437,,0.19,2019-12-12,,,,17/00252/FUL - Demolition of former swimming baths and construction of 273 room student development,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2017-03-27,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PINKYRBM03Y03,permissioned,Nelson Place (Jubilee Baths),TC14,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ON9XYRBMJG400,,,
yes,,2017-12-18,-2.221949,53.005567,,1.4,2019-12-12,,,,16/01106/FUL - Redevelopment of the site for 499 apartments (comprising of student accomodation),,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2017-10-30,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001GSKBMLI000,permissioned,"London Rd, Newcastle (former Bristol St Motors)",TC26,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OILIFRBMI6Y00,,,
yes,,2017-12-18,-2.222629,53.007668,,0.09,2019-12-12,,,,14/00477/FUL - Demolition of former Newcastle Baptist Church and erection of residential apartment development containing 14 no. 2 bed units and 8 no. 1 bed units,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2015-10-26,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0013ILBMLI000,permissioned,"Newcastle Baptist Church, London Road, Newcastle",TC32,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N7MNLEBM4V000,,,
yes,,2017-12-18,-2.219376,53.011601,,0.1,2019-12-12,,,,17/00179/FUL - Demolition of existing building and erection of a 4-storey apartment block with parking,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2017-06-23,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0013HJBMLI000,permissioned,"Marsh Parade, Newcastle-under-Lyme, Staffordshire",TC34,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OM4WXBBMHAI00,,,
yes,,2018-12-11,-2.227635,53.010403,,0.09,2019-12-12,,,,17/00174/FUL - Demolition of the former Savoy Cinema/Metropolis Nighclub and erection of a 13 storey student accomodation building comprising 227 units,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2018-02-23,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=JHRQQ6BMY3000,permissioned,Former Savoy Cinema / Metropolis Nightclub Newcastle Under Lyme Staffordshire ST5 1QQ,TC36,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OM35BKBMH7A00,,,
,,2018-12-11,-2.229828,53.008714,,0.2,2019-12-12,,,,Site promoted by registered provider,,http://opendatacommunities.org/id/district-council/newcastle-staffs,owned by a public authority,,,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=ISKSZ0BMY3000,not permissioned,"Car Park, Blackfriars Road, Newcastle",TC40,,,,
,,2019-12-12,-2.232094,53.014218,,0.92,2019-12-12,,,,19/00614/FUL - Demolition of existing buildings and the development of 89 supported living apartments,,http://opendatacommunities.org/id/district-council/newcastle-staffs,owned by a public authority,,,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=L2RH5ABM03Y00,pending decision,"Ashfields Grange, Hall Street, Newcastle",TC41,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PVX9XUBMGGK00,,,
,,2018-12-11,-2.257074,53.073481,,0.25,2019-12-12,,,,Site promoted by registered provider,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,,,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001O4YBMLI000,not permissioned,"Wedgwood Road, Kidsgrove",TK11,,,,
yes,,2017-12-18,-2.26215,53.077212,,0.23,2019-12-12,,,,08/00014/FUL - Residential development for plots 4 and 5,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2008-02-29,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001NUCBMLI000,permissioned,"Former Talke Social Club, Coal Pit Hill, Talke",TK22,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=JUHD8XBM06500,,,
yes,,2017-12-18,-2.229897,53.006956,,0.66,2019-12-12,,,,14/00284/FUL - Demolition of the redundant day car centre and the construction of 13 new single storey dwellings,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2014-08-29,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0013XJBMLI000,permissioned,"Priory Day Centre, Lymewood Grove, Newcastle",WL15,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N4FSTHBM4V000,,,
