Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2019-12-31,-1.777064,51.579986,,0.26,2020-12-23,,2,2,19HMR021 - S/17/1826 | Erection of 2no. dwellings,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2018-02-08,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OYQXU2PTIVR00,permissioned,"Land at Alresco Childcare, Newtown Lare, Bishopstone, SN6 8PW",19HMR021,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OYQXU2PTIVR00,,,
yes,2020-12-23,2019-12-31,-1.804841,51.55975,,0.48,2020-12-23,,15,15,19HMR026 - S/18/0265 | Erection of 15no. dwellings,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2019-01-28,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P46S91PT04V00,permissioned,"Land at 5 Wanborough Road, Stratton St Margaret, Swindon",19HMR026,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P46S91PT04V00,,,
yes,,2019-12-31,-1.729012,51.586939,,0.03,2020-12-23,,8,8,19HMR030 - S/18/1523 | Demolition of existing building and erection of 8 no. flats,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2019-02-26,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PEU5YHPT04V00,permissioned,"The Former Cycle Club, 33 Dixon Street, Swindon",19HMR030,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PEU5YHPT04V00,,,
yes,,2019-12-31,-1.780691,51.554122,,0.07,2020-12-23,,5,5,19HMR038 - S/OUT/17/1693 | Outline application for the erection of 2no. apartments and 3 dwellings,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2019-02-28,outline planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OXPO62PTIFK00,permissioned,"Land Adjacent to Co-operative Convenience Store, Moormead Road, Wroughton, Swindon",19HMR038,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OXPO62PTIFK00,,,
yes,,2019-12-31,-1.801562,51.565596,,0.09,2020-12-23,,6,6,19HMR039 - S/18/1569 | Demolition of 409 Cricklade Road and erection of 6no. dwellings ( one 1 bed flat and five 2 bed houses),,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2019-03-07,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PFAM9JPT0FL00,permissioned,"409 - 411 Cricklade Road, Swindon, SN2 1AQ",19HMR039,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PFAM9JPT0FL00,,,
yes,,2019-12-31,-1.762084,51.570294,,0.04,2020-12-23,,6,6,19HMR041 - S/18/1072 | Erection of a three storey block of 6 no. flats,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2019-02-15,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PAXLL7PTGMP00,permissioned,"98 Redcliffe Street, Swindon, SN2 2BZ",19HMR041,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PAXLL7PTGMP00,,,
yes,,2018-12-31,-1.782897,51.564644,,2.05,2020-12-23,,47,47,PP181901 - S/OUT/14/2058 | Outline application for the erection of up to 47no. dwellings,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2018-05-15,outline planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NG3QDNPT97000,permissioned,Crown Timber Site Unit A Thornhill Industrial Estate South Marston Swindon,PP181901,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NG3QDNPT97000,,,
yes,,2018-12-31,-1.782661,51.55904,,0.61,2020-12-23,,45,45,"PP181915 - S/17/1777 | Demolition of existing buildings, erection of new buildings and conversion of existing buildings to form 45no. residential units",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2018-11-21,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OYDTNAPTIQF00,permissioned,"Bus Depot Eastcott Road, Old Town, SwindonSN1 3LS",PP181915,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OYDTNAPTIQF00,,,
yes,,2018-12-31,-1.777846,51.555757,,0.04,2020-12-23,,5,5,PP181917 - S/18/0380 | Partial demolition with two storey extension and alterations to allow for the conversion of the existing social club to form 4 no. 1 bedroom flats and 1 no.2 bedroom flat,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2018-10-22,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P54EY9PTLSB00,permissioned,Morris Street Club 20-22 Morris Street Rodbourne Swindon SN2 2HU,PP181917,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P54EY9PTLSB00,,,
yes,2020-12-23,2018-12-31,-1.77671,51.553074,,0.23,2020-12-23,,8,8,PP181918 - S/18/0256 | Erection of a mansard roof with dormer windows to create 8no. additional flats ( 7 one bed flats and 1 two bed flat),,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2018-09-07,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P44UC4PTLAY00,permissioned,Coachbuilders House Stratton Road Stratton St Margaret Swindon,PP181918,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P44UC4PTLAY00,,,
yes,2020-12-23,2018-12-31,-1.727288,51.555305,,0.02,2020-12-23,,6,6,PP181920 - S/17/1707 | Change of use of 2no. dwellings to 6no. self contained apartments,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2018-12-18,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OXX2I2PT0FL00,permissioned,175 - 176 Manchester Road Swindon SN1 1TU,PP181920,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OXX2I2PT0FL00,,,
yes,2020-12-23,2018-12-31,-1.826729,51.569192,,0.01,2020-12-23,,5,5,"PP181922 - S/18/0406 | Change of use of ground, first and second floor and roof space from Class A1/A2/B1 to Class C3 to provide 5no. dwellings",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2018-05-18,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P5BFPAPTLW600,permissioned,"2 Temple Chambers Temple Street, Swindon, SN1 1SQ",PP181922,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P5BFPAPTLW600,,,
yes,2020-12-23,2018-12-31,-1.741264,51.565407,,0.01,2020-12-23,,5,5,PP181923 - S/PRIORC/18/1149 | Prior notification application for the change of use from office (Class B1a) to 5no. flats (Class C3),,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2018-08-22,permission in principle,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PBLB5MPT0FL00,permissioned,"53 Victoria Road, Old Town, Swindon, SN1 3AY",PP181923,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PBLB5MPT0FL00,,,
