Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2018-12-31,-1.782747,51.559009,,5.16,2020-12-23,,,,"S0401 - S0401 | Part demolition and extension of existing building to provide new distribution warehouse accommodation including change of use (B8) and construction of new service yard, parking, access, landscaping and associated works.",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2010-01-11,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=KRAMLDPT97000,permissioned,North of Gateway North,S0401,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=KRAMLDPT97000,,,
yes,,2018-12-31,-1.700211,51.541934,,2.34,2020-12-23,,,,"S0402 - S0402 | Part demolition and extension of existing building to provide new distribution warehouse accommodation including change of use (B8) and construction of new service yard, parking, access, landscaping and associated works.",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2010-01-11,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=KRAMLDPT97000,permissioned,South of Gateway North,S0402,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=KRAMLDPT97000,,,
yes,,2018-12-31,-1.773606,51.55177,,0.23,2020-12-23,,8,8,S0413 - S/16/0768 | Demolition of the Wheatsheaf Public House and erection of 8no. dwellings,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2017-05-12,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O6E5ERPT0IN00,permissioned,The Wheatsheaf Public House 33-36 Dores Road Upper Stratton,S0413,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O6E5ERPT0IN00,,,
yes,2020-12-23,2018-12-31,-1.808924,51.573069,,0.02,2020-12-23,,6,6,S0415 - S/17/0526 | Erection of 6no. flats,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2017-08-11,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=ON9FPRPTLV800,permissioned,Land To The Rear Of 27 Eastcott Hill,S0415,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=ON9FPRPTLV800,,,
yes,2020-12-23,2018-12-31,-1.787892,51.560375,,0.01,2020-12-23,,5,5,"S0416 - S/17/1757 | Change of use of ground floor, second floor and roofspace to 5no. flats",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2017-12-11,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OY9VLNPT0IN00,permissioned,3 Temple Chambers Temple Street,S0416,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OY9VLNPT0IN00,,,
yes,2020-12-23,2018-12-31,-1.786795,51.564983,,0.17,2020-12-23,,8,8,S0418 - S/16/1968 | Change of use of former nursing home to 7 no. 2-bedroom flats,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2017-04-07,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OGMXKGPTJR700,permissioned,Southdown Nursing Home 17 Church Road Wanborough,S0418,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OGMXKGPTJR700,,,
yes,,2018-12-31,-1.752111,51.63734,,0.03,2020-12-23,,6,6,S0420 - S/PRIORC/17/0931 | Prior notification application for the change of use from offices (Class B1a) to dwellings (Class C3) (6no. flats),,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2017-08-11,permission in principle,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OQUZ4SPT04V00,permissioned,First Floor 17 - 21 High Street Old Town,S0420,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OQUZ4SPT04V00,,,
yes,,2018-12-31,-1.773771,51.566369,,1.17,2020-12-23,,35,35,"S0424 - S/11/0826 | Erection of 35 no. units to provide class B1 (Business) & class B8 (Storage & Distribution) use, together with trade counters (Resubmission).",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2011-08-25,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=LMRSYQPT97000,permissioned,"Former Zarlink Factory, Darby Close, Swindon",S0424,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=LMRSYQPT97000,,,
yes,,2018-12-31,-1.762652,51.519628,,0.85,2020-12-23,,290,290,"S0430 - S/OUT/19/1566 | A Hybrid application for the demolition of 44-45 Canal Walk (Brunel Shopping Centre) and outline application for the construction of two multi-storey towers for mixed use (up to 290no. residential units) and a podium 1-3 storeys (Use Class A1-A5 and leisure uses) with associated landscaping, access (access, landscaping, layout and scale not reserved) and full application for the reconfiguration of the trucking deck including associated traffic controls.",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,outline planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PZKSSTPTKCN00,pending decision,"Brunel West Car Park and House of Fraser, Swindon",S0430,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PZKSSTPTKCN00,,,
,,2018-12-31,-1.69719,51.542342,,4.54,2020-12-23,,85,85,S0433 - S0433 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,Swindon Station Redevelopment,S0433,https://pa1.swindon.gov.uk/publicaccess/,,,
yes,,2018-12-31,-1.795758,51.558215,,0.68,2020-12-23,,8,8,"S0434 - S/17/1114 | Demolition of buildings, and erection of 8no. dwellings and employment building (Use Class B1)",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2019-09-12,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OSD5P4PTG6100,permissioned,"Manor Farm, Hannington",S0434,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OSD5P4PTG6100,,,
,,2018-12-31,-1.773525,51.564582,,0.43,2020-12-23,,22,22,S0436 - S0436 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,County Ground Depot,S0436,https://pa1.swindon.gov.uk/publicaccess/,,,
yes,,2018-12-31,-1.760534,51.520652,,12.6,2020-12-23,,77,77,"S0448 - S/17/0128 | Demolition of the pavilions, change of use of offices and ancillary buildings to 25no. apartments/dwellings, erection of 52no. dwellings, construction of new access and associated works.",,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2018-04-27,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OK4H08PTKU200,permissioned,"Burderop Park, Wroughton",S0448,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OK4H08PTKU200,,,
yes,,2018-12-31,-1.874632,51.539051,,0.32,2020-12-23,,9,9,S0458 - S0458 | No Recent Planning History,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,,,https://pa1.swindon.gov.uk/publicaccess/,not permissioned,"Croft Yard, Ham Road, Wanborough",S0458,https://pa1.swindon.gov.uk/publicaccess/,,,
yes,2020-12-23,2018-12-31,-1.79555,51.55833,,0.07,2020-12-23,,11,11,S0476 - S/13/0435 | Change of use of existing premises from Public House (A4) to part Retail (A1) and Residential (C3) to form 11no. units,,http://opendatacommunities.org/id/unitary-authority/swindon,not owned by a public authority,2013-09-06,full planning permission,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=MKTQ8OPT97000,permissioned,"The 12 Bar, 179 Westcott Place, Swindon",S0476,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=MKTQ8OPT97000,,,
