Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point
,,2016-09-06,-2.692935,53.75807,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,not permissioned,"Oak Street, off Manchester Road",BR29,,,
,,,,,,,2019-12-16,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,,"Former Spindlemakers Arms, Lancaster",,,,
,,2016-09-06,-2.700376,53.76409,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,2002-07-22,full planning permission,,permissioned,Road North,BR30,,,
,,2016-09-06,-2.706521,53.76141,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,2012-02-14,full planning permission,,permissioned,170 Corporation Street,BR31,,,
,,2016-09-06,-2.714388,53.76468,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,not permissioned,161-171 Fylde Rd,BR35,,,
,,,,,,,2019-12-16,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,,,,,,
,,,,,,,2019-12-16,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,,,,,,
,,2016-09-06,-2.705016,53.75849,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,pending decision,52-62 Corporation Street,BR36,,,
,,,,,,,2019-12-16,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,,"Former County Arms Hotel site, 2 Deepale",,,,
,,2016-09-06,-2.689775,53.76236,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,2008-04-24,full planning permission,,permissioned,Road.,BR37,,,
,,2016-09-06,-2.704075,53.77115,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,2017-02-16,full planning permission,,permissioned,5&7 Moor Park Avenue,BR41,,,
,,,,,,,2019-12-16,,,,,,http://opendatacommunities.org/id/district-council/preston,,,full planning permission,,,,,,,
,,2016-09-06,-2.727184,53.76161,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,2017-10-10,under an order,,permissioned,"Oyston Mill, Strand Road",BR42,,,
,,2016-09-06,-2.685838,53.76748,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,2015-03-19,full planning permission,,permissioned,Deepdale Mill Street.,BR48,,,
,,,,,,,2019-12-16,,,,,,http://opendatacommunities.org/id/district-council/preston,,,full planning permission,,,,,,,
,,2016-09-06,-2.698792,53.76184,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,2013-10-15,under an order,,permissioned,"Victoria House, 9-11 Ormskirk Road.",BR49,,,
,,,,,,,2019-12-16,,,,,,http://opendatacommunities.org/id/district-council/preston,,,full planning permission,,,,,,,
,,2016-09-06,-2.700903,53.75472,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,2014-07-01,under an order,,permissioned,10 & 11 Camden Place,BR50,,,
,,2016-09-06,-2.698114,53.76031,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,2013-12-24,full planning permission,,permissioned,"The Golden Cross Hotel, 60 Lancaster Road.",BR51,,,
,,2016-09-06,-2.703378,53.75398,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,2014-04-17,full planning permission,,permissioned,"East Cliff House, 5 East Cliff",BR52,,,
,,,,,,,2019-12-16,,,,,,http://opendatacommunities.org/id/district-council/preston,,,full planning permission,,,,,,,
,,2016-09-06,-2.699722,53.75664,,0.02,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,not owned by a public authority,2017-10-10,under an order,,permissioned,63 Guildhall Street,BR53,,,
,,2016-09-06,-2.692809,53.75868,,0.04,2018-11-19,0,0,0,,,http://opendatacommunities.org/id/district-council/preston,not owned by a public authority,,,,not permissioned,33 Manchester Road,BR60,,,
,,2016-09-06,-2.651301,53.76499,,1,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,owned by a public authority,2015-09-17,full planning permission,,permissioned,Former Royal Cross site,BR62,,,
yes,,2016-09-06,-2.709582,53.80441,,3.49,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,not owned by a public authority,2015-09-15,full planning permission,,permissioned,"Land at D'Urton Lane, Broughton.",BR63,,,
,,2016-09-06,-2.704359,53.76546,,0.01,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,not owned by a public authority,2015-11-05,full planning permission,,permissioned,"Lodge Bank, Moor Lane",BR66,,,
,,2016-09-06,-2.716647,53.7984,,1.5,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,owned by a public authority,,,,not permissioned,"Lancashire Fire and Rescue HQ, Garstang Road. WGS84",BR70,,,
,,2016-09-06,-2.693877,53.76829,,4.3,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,owned by a public authority,,,,not permissioned,Argyll Rd Depot,BR71,,,
,,,,,,,2019-12-16,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,,"Deepdale Mill, Deepdale Mill Street /",,,,
,,2016-09-06,-2.684194,53.76713,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,2015-06-23,reserved matters approval,,permissioned,Isherwood Street,BR73,,,
,,2016-09-06,-2.694566,53.75858,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,not permissioned,"Rear Bull & Royal Public House, Church St.",BR76,,,
,,2016-09-06,-2.6946,53.75876,,,2018-11-19,,,,,,http://opendatacommunities.org/id/district-council/preston,,,,,not permissioned,North of Shepherd St,BR77,,,
