Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point
yes,,,-3.50858,50.72637,,0.04,2019-12-14,5,5,5,,,http://opendatacommunities.org/id/district-council/exeter,not owned by a public authority,2018-06-05,,,pending decision,1-5 Lower Avenue,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.50283,50.71862,,0.33,2019-12-14,5,5,5,,,http://opendatacommunities.org/id/district-council/exeter,not owned by a public authority,2018-07-31,,,pending decision,"Newberry Car Breakers, Redhills",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.51887,50.72982,,0.06,2019-12-14,8,8,8,,,http://opendatacommunities.org/id/district-council/exeter,not owned by a public authority,2018-10-24,,,permissioned,"Moose Hall, Blackboy Road",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.52705,50.72619,,0.05,2019-12-14,108,108,108,,,http://opendatacommunities.org/id/district-council/exeter,not owned by a public authority,2018-04-27,,,permissioned,The King Billy and 26-28 Longbrook Street,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.54264,50.73787,,0.57,2019-12-14,178,178,178,,,http://opendatacommunities.org/id/district-council/exeter,not owned by a public authority,2018-12-17,,,permissioned,Land at Glenthorne Road,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.53415,50.7211,,0.06,2019-12-14,64,64,64,Under construction.,,http://opendatacommunities.org/id/district-council/exeter,not owned by a public authority,2018-10-22,,,permissioned,"City Arcade, Fore Street",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.52239,50.7275,,0.24,2019-12-14,10,10,10,Site cleared.,,http://opendatacommunities.org/id/district-council/exeter,owned by a public authority,2018-10-12,,,permissioned,78-84 Bovemoors Lane,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.54289,50.72958,,2.2,2019-12-14,,,,"Site assessed as suitable, available and achievable for mixed use development including residential in the Revised 2015 SHLAA.",,http://opendatacommunities.org/id/district-council/exeter,not owned by a public authority,,,,not permissioned,"Land adj Exeter St Davids Station, Bonhay Road/Cowley Bridge Road",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.52283,50.73026,,0.09,2019-12-14,,,,"Site assessed as suitable, available and achievable for residential development in the Revised 2015 SHLAA.",,http://opendatacommunities.org/id/district-council/exeter,not owned by a public authority,,,,not permissioned,Nos. 36-37 Well Street,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.51012,50.73385,,6.7,2019-12-14,,,,"Site assessed as suitable, available and achievable for residential development in the Revised 2015 SHLAA. Planning application submitted.",,http://opendatacommunities.org/id/district-council/exeter,not owned by a public authority,,,,not permissioned,"Exmouth Junction, Prince Charles Road",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.47981,50.71713,,0.23,2019-12-14,,,,"Site assessed as suitable, available and achievable for residential development in the Revised 2015 SHLAA. Lapsed consent for 14 apartments.",,http://opendatacommunities.org/id/district-council/exeter,not owned by a public authority,,,,not permissioned,"Land adj Exeter Arms Hotel, Rydon Lane",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.51207,50.71544,,0.8,2019-12-14,,,,"Site assessed as suitable, available and achievable for residential development in the Revised 2015 SHLAA.",,http://opendatacommunities.org/id/district-council/exeter,owned by a public authority,,,,not permissioned,"DOA & Exeter Mobility Centre, Wonford Road",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.49689,50.73138,,0.68,2019-12-14,,,,"Site assessed as suitable, available and achievable for residential development in the Revised 2015 SHLAA. Planning application submitted.",,http://opendatacommunities.org/id/district-council/exeter,not owned by a public authority,,,,not permissioned,"Honeylands Hospital, Pinhoe Road",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.53459,50.72267,,0.2,2019-12-14,,,,"Site assessed as suitable, available and achievable for residential development in the Revised 2015 SHLAA.",,http://opendatacommunities.org/id/district-council/exeter,owned by a public authority,,,,not permissioned,"Mary Arches Surface Car Park, Mary Arches Street",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.5367,50.72628,,0.05,2019-12-14,,,,"Site assessed as suitable, available and achievable for residential development in the Revised 2015 SHLAA. Conversion/change of use only.",,http://opendatacommunities.org/id/district-council/exeter,not owned by a public authority,,,,not permissioned,"Bendene Hotel, 15-16 Richmond Road",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.5213,50.72453,,0.22,2019-12-14,,,,"Site assessed as suitable, available and achievable for residential development in the Revised 2015 SHLAA.",,http://opendatacommunities.org/id/district-council/exeter,owned by a public authority,,,,not permissioned,"Pyramids Leisure Centre, Heavitree Road",,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.49933,50.71535,,0.08,2019-12-14,,,,"Site assessed as suitable, available and achievable for residential development in the Revised 2015 SHLAA.",,http://opendatacommunities.org/id/district-council/exeter,owned by a public authority,,,,not permissioned,Nos. 91-97 Wonford Street,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
yes,,,-3.52239,50.7275,,0.05,2019-12-14,,,,Lapsed consent for redevelopment to provide five storey building with 28 flats and retail/restaurant unit at ground floor and associated works,,http://opendatacommunities.org/id/district-council/exeter,owned by a public authority,,,,not permissioned,Corner of Summerland St & Red Lion Lane,,https://drive.google.com/drive/folders/0B4CpCORtOQdTem1rTDJ4WC1kYVU,,
